START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/21/20,01:05 PM,01:05 PM,Fire at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"",02/21/20,02/21/20,04:05 PM,04:05 PM,FALSE,TRUE,02/21/20,12:05 PM,12:05 PM,FREE,BUSY
02/22/20,01:05 PM,01:05 PM,Phillies at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local Radio: WXYT 97.1 FM",02/22/20,02/22/20,04:05 PM,04:05 PM,FALSE,TRUE,02/22/20,12:05 PM,12:05 PM,FREE,BUSY
02/23/20,01:05 PM,01:05 PM,Tigers at Pirates,LECOM Park - Bradenton,"Local Radio: WXYT 97.1 FM",02/23/20,02/23/20,04:05 PM,04:05 PM,FALSE,TRUE,02/23/20,12:05 PM,12:05 PM,FREE,BUSY
02/23/20,01:05 PM,01:05 PM,Tigers at Braves,CoolToday Park - North Port,"Local TV: FS-D",02/23/20,02/23/20,04:05 PM,04:05 PM,FALSE,TRUE,02/23/20,12:05 PM,12:05 PM,FREE,BUSY
02/24/20,01:05 PM,01:05 PM,Astros at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local Radio: WXYT 1270",02/24/20,02/24/20,04:05 PM,04:05 PM,FALSE,TRUE,02/24/20,12:05 PM,12:05 PM,FREE,BUSY
02/25/20,01:05 PM,01:05 PM,Mets at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local Radio: WXYT 1270",02/25/20,02/25/20,04:05 PM,04:05 PM,FALSE,TRUE,02/25/20,12:05 PM,12:05 PM,FREE,BUSY
02/27/20,01:05 PM,01:05 PM,Tigers at Rays,Charlotte Sports Park - Port Charlotte,"",02/27/20,02/27/20,04:05 PM,04:05 PM,FALSE,TRUE,02/27/20,12:05 PM,12:05 PM,FREE,BUSY
02/28/20,01:05 PM,01:05 PM,Blue Jays at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local TV: FS-D ----- Local Radio: WXYT 1270",02/28/20,02/28/20,04:05 PM,04:05 PM,FALSE,TRUE,02/28/20,12:05 PM,12:05 PM,FREE,BUSY
02/29/20,01:05 PM,01:05 PM,Tigers at Yankees,George M. Steinbrenner Field - Tampa,"Local TV: FS-D ----- Local Radio: WXYT 97.1 FM",02/29/20,02/29/20,04:05 PM,04:05 PM,FALSE,TRUE,02/29/20,12:05 PM,12:05 PM,FREE,BUSY
03/01/20,01:05 PM,01:05 PM,Yankees at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local Radio: WXYT 97.1 FM",03/01/20,03/01/20,04:05 PM,04:05 PM,FALSE,TRUE,03/01/20,12:05 PM,12:05 PM,FREE,BUSY
03/02/20,01:05 PM,01:05 PM,Red Sox at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local Radio: WXYT 1270",03/02/20,03/02/20,04:05 PM,04:05 PM,FALSE,TRUE,03/02/20,12:05 PM,12:05 PM,FREE,BUSY
03/03/20,01:05 PM,01:05 PM,Tigers at Twins,CenturyLink Sports Complex - Fort Myers,"Local TV: FS-D",03/03/20,03/03/20,04:05 PM,04:05 PM,FALSE,TRUE,03/03/20,12:05 PM,12:05 PM,FREE,BUSY
03/04/20,01:05 PM,01:05 PM,Tigers at Red Sox,JetBlue Park - Ft. Myers,"",03/04/20,03/04/20,04:05 PM,04:05 PM,FALSE,TRUE,03/04/20,12:05 PM,12:05 PM,FREE,BUSY
03/05/20,01:05 PM,01:05 PM,Yankees at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local TV: FS-D- MLBN (out-of-market only) ----- Local Radio: WXYT 1270",03/05/20,03/05/20,04:05 PM,04:05 PM,FALSE,TRUE,03/05/20,12:05 PM,12:05 PM,FREE,BUSY
